 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wCnEQUPt_WIJTm_FyuQWdQI";s:4:"sign";s:32:"0d202110268968620c7a236bc738370c";s:7:"game_id";s:1:"9";}, 2017-06-03 00:13:52
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wBTid3i05o6esthY6H_SDU4";s:4:"sign";s:32:"ffc5bfb6f3d8fad1d383428e16441218";s:7:"game_id";s:1:"9";}, 2017-06-03 10:49:45
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wO0K09MnJfsco5fIg7Jv6P0";s:4:"sign";s:32:"15c3557b5b5836415a349f45f9306129";s:7:"game_id";s:1:"9";}, 2017-06-03 11:23:30
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wO0K09MnJfsco5fIg7Jv6P0";s:4:"sign";s:32:"15c3557b5b5836415a349f45f9306129";s:7:"game_id";s:1:"9";}, 2017-06-03 11:25:04
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 11:25:50
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wO0K09MnJfsco5fIg7Jv6P0";s:4:"sign";s:32:"15c3557b5b5836415a349f45f9306129";s:7:"game_id";s:1:"9";}, 2017-06-03 11:27:05
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wCI94FaJ08mgEzljgCiPXSE";s:4:"sign";s:32:"97ab83cd13969c929e3a8a5ac1203a49";s:7:"game_id";s:1:"9";}, 2017-06-03 11:46:21
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wEJD8pJ7CIl2PEUg4qTHLOI";s:4:"sign";s:32:"20b7b99566ee18c194a9561b6206bcb7";s:7:"game_id";s:1:"9";}, 2017-06-03 12:32:07
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNu5d9drd8nu-d6xsko3l3s";s:4:"sign";s:32:"d630e83fde5d11eafa05550438553771";s:7:"game_id";s:1:"9";}, 2017-06-03 13:46:33
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNu5d9drd8nu-d6xsko3l3s";s:4:"sign";s:32:"d630e83fde5d11eafa05550438553771";s:7:"game_id";s:1:"9";}, 2017-06-03 13:51:48
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNu5d9drd8nu-d6xsko3l3s";s:4:"sign";s:32:"d630e83fde5d11eafa05550438553771";s:7:"game_id";s:1:"9";}, 2017-06-03 13:55:18
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wCI94FaJ08mgEzljgCiPXSE";s:4:"sign";s:32:"97ab83cd13969c929e3a8a5ac1203a49";s:7:"game_id";s:1:"9";}, 2017-06-03 14:13:31
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNu5d9drd8nu-d6xsko3l3s";s:4:"sign";s:32:"d630e83fde5d11eafa05550438553771";s:7:"game_id";s:1:"9";}, 2017-06-03 14:20:16
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMMN8aHunNQaiRQ1fnjDtqo";s:4:"sign";s:32:"d2b8a642c65c8b76e88902e7d3c6e8cc";s:7:"game_id";s:1:"9";}, 2017-06-03 15:04:12
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNu5d9drd8nu-d6xsko3l3s";s:4:"sign";s:32:"d630e83fde5d11eafa05550438553771";s:7:"game_id";s:1:"9";}, 2017-06-03 15:27:19
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNu5d9drd8nu-d6xsko3l3s";s:4:"sign";s:32:"d630e83fde5d11eafa05550438553771";s:7:"game_id";s:1:"9";}, 2017-06-03 15:27:59
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 16:09:58
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGGwxz4zm9G454A0MRUa5tA";s:4:"sign";s:32:"f0186b7e7921a982c8140e8cb2ad18fc";s:7:"game_id";s:1:"9";}, 2017-06-03 16:11:29
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wBTid3i05o6esthY6H_SDU4";s:4:"sign";s:32:"ffc5bfb6f3d8fad1d383428e16441218";s:7:"game_id";s:1:"9";}, 2017-06-03 17:57:50
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPxCWbVXMZOedFQwDTRsjGA";s:4:"sign";s:32:"2a5c78f5dd2e922709a054b0adb578a1";s:7:"game_id";s:1:"9";}, 2017-06-03 19:36:00
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNMEllNNRzzd87xO7yWWGRw";s:4:"sign";s:32:"2f946387ebd5ffa5d88041c23bbc101e";s:7:"game_id";s:1:"9";}, 2017-06-03 21:04:23
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPU273EHfMIpe7k-rw3JWj0";s:4:"sign";s:32:"a383f6ad1e42b652a1611775b31715d8";s:7:"game_id";s:1:"9";}, 2017-06-03 22:32:44
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJF24761math1CADEHvqVgo";s:4:"sign";s:32:"df79ba480f98a6ac38b7d109a6d6385e";s:7:"game_id";s:1:"9";}, 2017-06-03 22:46:22
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wJF24761math1CADEHvqVgo";s:4:"sign";s:32:"df79ba480f98a6ac38b7d109a6d6385e";s:7:"game_id";s:1:"9";}, 2017-06-03 22:48:13
