post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"82105d768cf9ea087c8d733f6494bad8";s:8:"username";s:35:"ojKm5wEJD8pJ7CIl2PEUg4qTHLOI@weixin";}, 2017-06-18 00:00:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2a108af306773874e69e6efdea08655d";s:8:"username";s:35:"8E5FB8E664F4D93BB4383C9CFE4C15A4@qq";}, 2017-06-18 17:01:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"86fa8ee1e7a46dfbc5136a46b0738db0";s:8:"username";s:41:"ce306aed-bc34-37f1-b245-700f9460d154@u591";}, 2017-06-18 17:01:57
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"08c78ec05094b773bba4ffc8d43f601f";s:8:"username";s:41:"475f6e3f-5c38-3363-ba7a-1450c38f4bf4@u591";}, 2017-06-18 20:28:15
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"08c78ec05094b773bba4ffc8d43f601f";s:8:"username";s:41:"475f6e3f-5c38-3363-ba7a-1450c38f4bf4@u591";}, 2017-06-18 20:28:48
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"08c78ec05094b773bba4ffc8d43f601f";s:8:"username";s:41:"475f6e3f-5c38-3363-ba7a-1450c38f4bf4@u591";}, 2017-06-18 20:29:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"08c78ec05094b773bba4ffc8d43f601f";s:8:"username";s:41:"475f6e3f-5c38-3363-ba7a-1450c38f4bf4@u591";}, 2017-06-18 20:30:11
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"11481a2e3a447eadffe8310228ad2168";s:8:"username";s:41:"c0d181d1-555c-3187-a90b-901580d5e0e6@u591";}, 2017-06-18 20:40:36
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"11481a2e3a447eadffe8310228ad2168";s:8:"username";s:41:"c0d181d1-555c-3187-a90b-901580d5e0e6@u591";}, 2017-06-18 20:40:55
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"11481a2e3a447eadffe8310228ad2168";s:8:"username";s:41:"c0d181d1-555c-3187-a90b-901580d5e0e6@u591";}, 2017-06-18 20:41:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c5c0f50310b5edbcfecf5035b4aa095d";s:8:"username";s:35:"ojKm5wLVF53nF1-kLEJUa_idgPzk@weixin";}, 2017-06-18 23:04:50
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"64184678fdd82906f50e1a6f37e8a243";s:8:"username";s:41:"c34dc6d4-9451-3df5-b90e-0bf9b589aceb@u591";}, 2017-06-18 23:06:02
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c5c0f50310b5edbcfecf5035b4aa095d";s:8:"username";s:35:"ojKm5wLVF53nF1-kLEJUa_idgPzk@weixin";}, 2017-06-18 23:06:22
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"5e2dc4e92a39d69d86c2077dd6cfb7e8";s:8:"username";s:35:"880647B6C752839ED37D74E2B95D5524@qq";}, 2017-06-18 23:08:00
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"804c6ab960e8244fc71a70591513a6d2";s:8:"username";s:35:"F464FF84B6FEB42D69E81387E16D71B8@qq";}, 2017-06-18 23:17:00
