post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"af9b9e81d24ad68512cd35812df35b79";s:8:"username";s:15:"1488853729@u591";}, 2017-03-07 10:28:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:04:04
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:04:22
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:04:43
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:05:08
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:05:27
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:05:52
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:06:11
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:06:36
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:06:54
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:07:15
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:07:34
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:07:55
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:08:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:08:39
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:09:04
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:09:26
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:09:48
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:10:09
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:10:27
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:10:48
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:11:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:11:32
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:12:16
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:12:41
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:13:00
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:13:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:13:39
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:14:00
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:14:25
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:14:47
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:15:09
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:15:31
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:15:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:16:14
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:16:32
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:16:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:17:18
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:17:37
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:18:02
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:18:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:18:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:19:05
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:19:26
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:19:44
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:20:04
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:20:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:20:48
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:21:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:21:31
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:21:52
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:22:10
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:22:52
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:23:14
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:23:35
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:23:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:24:14
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:24:40
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:24:59
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:25:24
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:25:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:26:08
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:26:30
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:26:52
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:27:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:27:32
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:27:53
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:28:18
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:28:40
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:29:02
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:29:24
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:29:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:30:08
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:30:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:30:47
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"c9ca2391438de6c925877afb8cf5d79e";s:8:"username";s:41:"5DD12CAE-EB0D-4F79-A10F-D9FBC439EB96@u591";}, 2017-03-07 15:30:58
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:31:08
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:31:33
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:31:52
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:32:17
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:32:36
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:33:02
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:33:20
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:33:41
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:33:59
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:34:23
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"1fa462f5a12370ba6cbc53d219ea0b39";s:8:"username";s:17:"38BC1A86F675@u591";}, 2017-03-07 15:34:23
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:34:45
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:35:07
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:35:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:35:51
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:36:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:36:34
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:36:52
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:37:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:37:38
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:37:57
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:38:23
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:38:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:39:07
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:39:25
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:39:49
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:40:12
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:40:30
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:40:51
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:41:16
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:41:35
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:42:00
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:42:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:42:45
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:43:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:43:24
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:43:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:44:06
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:44:28
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:44:50
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:45:55
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:46:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:46:35
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:47:00
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:47:19
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:47:44
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:48:03
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:48:23
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:48:49
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:49:08
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:49:28
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:49:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:50:06
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:50:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:50:50
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:51:08
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:51:32
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:51:54
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:52:17
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:52:39
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"2b3bfb0665276dfae340d5286789fbe1";s:8:"username";s:15:"1488853778@u591";}, 2017-03-07 15:53:01
