
2014-07-03 02:02:46|FAIL|Insert Into sum_daily_archive_detail|MSG=SQLSTATE[42S02]: Base table or view not found: 1146 Table 'u591.sum_daily_archive_detail' doesn't exist
2014-07-03 18:30:14|FAIL|Insert Into sum_daily_archive_detail|MSG=SQLSTATE[42S02]: Base table or view not found: 1146 Table 'u591.sum_daily_archive_detail' doesn't exist
2014-07-10 15:20:53|FAIL|Insert Into sum_daily_archive_detail|MSG=SQLSTATE[42S02]: Base table or view not found: 1146 Table 'u591.sum_daily_archive_detail' doesn't exist
2014-07-17 08:48:10||OK|Insert Into sum_daily_archive_detail|rowCount=2741
2014-07-17 08:48:10||OK|Insert Into sum_daily_archive_detail|rowCount=2751
2014-07-17 08:48:11||OK|Insert Into sum_daily_archive_detail|rowCount=2768
2014-07-18 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2760
2014-07-18 17:53:19||OK|Insert Into sum_daily_archive_detail|rowCount=2775
2014-07-18 18:25:32||OK|Insert Into sum_daily_archive_detail|rowCount=2776
2014-07-18 18:27:09||OK|Insert Into sum_daily_archive_detail|rowCount=2776
2014-07-18 18:44:08||OK|Insert Into sum_daily_archive_detail|rowCount=2776
2014-07-18 19:17:11||OK|Insert Into sum_daily_archive_detail|rowCount=2776
2014-07-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2746
2014-07-20 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2741
2014-07-21 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2756
2014-07-22 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2809
2014-07-23 10:51:21|FAIL|Insert Into sum_daily_archive_detail|MSG=0
2014-07-23 10:54:03||OK|Insert Into sum_daily_archive_detail|rowCount=2831
2014-07-24 08:49:48||OK|Insert Into sum_daily_archive_detail|rowCount=2808
2014-07-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2868
2014-07-26 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2924
2014-07-27 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2889
2014-07-28 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2871
2014-07-29 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2922
2014-07-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2897
2014-07-31 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2963
2014-08-01 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2904
2014-08-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2934
2014-08-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2942
2014-08-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2951
2014-08-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2924
2014-08-06 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2987
2014-08-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=2973
2014-08-07 13:56:05||OK|Insert Into sum_daily_archive_detail|rowCount=3025
2014-08-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3036
2014-08-09 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=2998
2014-08-10 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3082
2014-08-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3020
2014-08-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3076
2014-08-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3089
2014-08-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3155
2014-08-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3104
2014-08-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3156
2014-08-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3142
2014-08-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3196
2014-08-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3171
2014-08-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3172
2014-08-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3243
2014-08-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3258
2014-08-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3217
2014-08-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3244
2014-08-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3227
2014-08-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3241
2014-08-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3257
2014-08-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3293
2014-08-29 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3247
2014-08-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3270
2014-08-31 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3226
2014-09-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3270
2014-09-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3239
2014-09-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3265
2014-09-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3231
2014-09-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3227
2014-09-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3189
2014-09-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3276
2014-09-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3298
2014-09-09 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3322
2014-09-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3244
2014-09-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3265
2014-09-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3216
2014-09-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3242
2014-09-14 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3357
2014-09-15 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3310
2014-09-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3263
2014-09-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3291
2014-09-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3238
2014-09-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3205
2014-09-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3292
2014-09-21 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3300
2014-09-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3312
2014-09-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3247
2014-09-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3227
2014-09-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3238
2014-09-26 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3295
2014-09-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3310
2014-09-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3337
2014-09-29 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3277
2014-09-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3226
2014-10-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3297
2014-10-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3351
2014-10-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3331
2014-10-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3368
2014-10-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3323
2014-10-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3311
2014-10-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3324
2014-10-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3327
2014-10-09 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3298
2014-10-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3316
2014-10-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3282
2014-10-12 02:40:05||OK|Insert Into sum_daily_archive_detail|rowCount=3268
2014-10-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3273
2014-10-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3282
2014-10-14 17:40:44||OK|Insert Into sum_daily_archive_detail|rowCount=3341
2014-10-14 17:40:45||OK|Insert Into sum_daily_archive_detail|rowCount=3353
2014-10-14 17:40:46||OK|Insert Into sum_daily_archive_detail|rowCount=3354
2014-10-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3337
2014-10-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3357
2014-10-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3301
2014-10-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3321
2014-10-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3391
2014-10-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3386
2014-10-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3360
2014-10-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3359
2014-10-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3340
2014-10-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3377
2014-10-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3437
2014-10-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3420
2014-10-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3405
2014-10-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3358
2014-10-29 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3363
2014-10-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3354
2014-10-31 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3421
2014-11-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3399
2014-11-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3432
2014-11-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3451
2014-11-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3378
2014-11-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3361
2014-11-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3449
2014-11-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3375
2014-11-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3356
2014-11-09 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3352
2014-11-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3353
2014-11-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3320
2014-11-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3335
2014-11-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3321
2014-11-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3297
2014-11-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3368
2014-11-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3331
2014-11-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3332
2014-11-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3354
2014-11-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3217
2014-11-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3364
2014-11-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3401
2014-11-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3384
2014-11-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3359
2014-11-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3316
2014-11-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3367
2014-11-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3309
2014-11-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3366
2014-11-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3384
2014-11-29 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3377
2014-11-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3425
2014-12-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3231
2014-12-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3311
2014-12-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3309
2014-12-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3319
2014-12-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3342
2014-12-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3338
2014-12-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3376
2014-12-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3333
2014-12-09 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3380
2014-12-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3300
2014-12-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3331
2014-12-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3395
2014-12-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3242
2014-12-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3201
2014-12-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3196
2014-12-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3233
2014-12-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3210
2014-12-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3194
2014-12-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3210
2014-12-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3186
2014-12-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3199
2014-12-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3228
2014-12-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3233
2014-12-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3219
2014-12-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3261
2014-12-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3240
2014-12-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3208
2014-12-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3325
2014-12-29 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3264
2014-12-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3211
2014-12-31 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3257
2015-01-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3244
2015-01-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3260
2015-01-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3300
2015-01-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3309
2015-01-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3280
2015-01-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3319
2015-01-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3272
2015-01-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3251
2015-01-09 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3292
2015-01-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3319
2015-01-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3306
2015-01-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3361
2015-01-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3282
2015-01-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3294
2015-01-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3337
2015-01-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3342
2015-01-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3345
2015-01-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3390
2015-01-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3338
2015-01-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3293
2015-01-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3320
2015-01-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3331
2015-01-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3310
2015-01-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3393
2015-01-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3310
2015-01-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3319
2015-01-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3344
2015-01-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3379
2015-01-29 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3343
2015-01-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3349
2015-01-31 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3328
2015-02-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3268
2015-02-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3289
2015-02-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3316
2015-02-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3245
2015-02-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3313
2015-02-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3315
2015-02-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3259
2015-02-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3221
2015-02-09 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3283
2015-02-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3259
2015-02-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3248
2015-02-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3273
2015-02-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3204
2015-02-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3198
2015-02-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3279
2015-02-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3283
2015-02-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3249
2015-02-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3194
2015-02-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3185
2015-02-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3179
2015-02-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3184
2015-02-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3213
2015-02-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3193
2015-02-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3230
2015-02-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3222
2015-02-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3201
2015-02-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3234
2015-02-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3224
2015-03-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3203
2015-03-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3215
2015-03-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3216
2015-03-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3216
2015-03-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3195
2015-03-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3258
2015-03-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3211
2015-03-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3258
2015-03-09 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3260
2015-03-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3213
2015-03-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3219
2015-03-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3245
2015-03-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3214
2015-03-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3221
2015-03-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3233
2015-03-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3250
2015-03-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3197
2015-03-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3186
2015-03-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3204
2015-03-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3233
2015-03-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3239
2015-03-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3237
2015-03-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3212
2015-03-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3190
2015-03-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3181
2015-03-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3193
2015-03-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3189
2015-03-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3212
2015-03-29 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3159
2015-03-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3146
2015-03-31 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3104
2015-04-01 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3119
2015-04-02 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3123
2015-04-03 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3122
2015-04-04 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3106
2015-04-05 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3192
2015-04-06 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3179
2015-04-07 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3156
2015-04-08 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3100
2015-04-09 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3119
2015-04-10 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3146
2015-04-11 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3125
2015-04-12 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3181
2015-04-13 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3162
2015-04-14 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3114
2015-04-15 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3143
2015-04-16 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3166
2015-04-17 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3161
2015-04-18 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3164
2015-04-19 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3182
2015-04-20 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3168
2015-04-21 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3192
2015-04-22 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3140
2015-04-23 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3135
2015-04-24 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3117
2015-04-25 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3106
2015-04-26 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3164
2015-04-27 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3158
2015-04-28 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3135
2015-04-29 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3106
2015-04-30 02:40:06||OK|Insert Into sum_daily_archive_detail|rowCount=3130
