
2014-07-03 02:02:35|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-07-03 18:23:57|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-07-03 18:29:21|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-07-10 15:20:53|FAIL|Insert Into sum_daily_archive|MSG=SQLSTATE[HY093]: Invalid parameter number: no parameters were bound
2014-09-01 02:40:05|2014-09-01 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-02 02:40:05|2014-09-02 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-03 02:40:05|2014-09-03 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-04 02:40:05|2014-09-04 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-05 02:40:05|2014-09-05 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-06 02:40:05|2014-09-06 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-07 02:40:05|2014-09-07 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-08 02:40:05|2014-09-08 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-09 02:40:05|2014-09-09 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-10 02:40:05|2014-09-10 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-11 02:40:05|2014-09-11 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-12 02:40:05|2014-09-12 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-13 02:40:05|2014-09-13 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-14 02:40:05|2014-09-14 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-15 02:40:05|2014-09-15 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-16 02:40:05|2014-09-16 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-17 02:40:05|2014-09-17 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-18 02:40:05|2014-09-18 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-19 02:40:05|2014-09-19 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-20 02:40:05|2014-09-20 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-21 02:40:05|2014-09-21 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-22 02:40:05|2014-09-22 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-23 02:40:05|2014-09-23 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-24 02:40:05|2014-09-24 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-25 02:40:05|2014-09-25 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-26 02:40:05|2014-09-26 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-27 02:40:05|2014-09-27 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-28 02:40:05|2014-09-28 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-29 02:40:05|2014-09-29 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-09-30 02:40:05|2014-09-30 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-01 02:40:05|2014-10-01 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-02 02:40:05|2014-10-02 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-03 02:40:05|2014-10-03 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-04 02:40:05|2014-10-04 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-05 02:40:05|2014-10-05 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-06 02:40:05|2014-10-06 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-07 02:40:05|2014-10-07 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-08 02:40:05|2014-10-08 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-09 02:40:05|2014-10-09 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-10 02:40:05|2014-10-10 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-11 02:40:05|2014-10-11 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-12 02:40:05|2014-10-12 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-13 02:40:05|2014-10-13 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-14 02:40:05|2014-10-14 02:40:05|OK|Insert Into sum_daily_archive|rowCount=1
2014-10-14 17:40:43|2014-10-14 17:40:43|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-14 17:40:44|2014-10-14 17:40:44|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-14 17:40:45|2014-10-14 17:40:45|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-15 02:40:05|2014-10-15 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-16 02:40:05|2014-10-16 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-17 02:40:05|2014-10-17 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-18 02:40:05|2014-10-18 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-19 02:40:05|2014-10-19 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-20 02:40:05|2014-10-20 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-21 02:40:05|2014-10-21 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-22 02:40:05|2014-10-22 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-23 02:40:05|2014-10-23 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-24 02:40:05|2014-10-24 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-25 02:40:05|2014-10-25 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-26 02:40:05|2014-10-26 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-27 02:40:05|2014-10-27 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-28 02:40:05|2014-10-28 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-29 02:40:05|2014-10-29 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-30 02:40:05|2014-10-30 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-10-31 02:40:05|2014-10-31 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-01 02:40:05|2014-11-01 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-02 02:40:05|2014-11-02 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-03 02:40:05|2014-11-03 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-04 02:40:05|2014-11-04 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-05 02:40:05|2014-11-05 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-06 02:40:05|2014-11-06 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-07 02:40:05|2014-11-07 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-08 02:40:05|2014-11-08 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-09 02:40:05|2014-11-09 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-10 02:40:05|2014-11-10 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-11 02:40:05|2014-11-11 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-12 02:40:05|2014-11-12 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-13 02:40:05|2014-11-13 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-14 02:40:05|2014-11-14 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-15 02:40:05|2014-11-15 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-16 02:40:05|2014-11-16 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-17 02:40:05|2014-11-17 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-18 02:40:05|2014-11-18 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-19 02:40:05|2014-11-19 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-20 02:40:05|2014-11-20 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-21 02:40:05|2014-11-21 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-22 02:40:05|2014-11-22 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-23 02:40:05|2014-11-23 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-24 02:40:05|2014-11-24 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-25 02:40:05|2014-11-25 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-26 02:40:05|2014-11-26 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-27 02:40:05|2014-11-27 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-28 02:40:05|2014-11-28 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-29 02:40:05|2014-11-29 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-11-30 02:40:05|2014-11-30 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-01 02:40:05|2014-12-01 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-02 02:40:05|2014-12-02 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-03 02:40:05|2014-12-03 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-04 02:40:05|2014-12-04 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-05 02:40:05|2014-12-05 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-06 02:40:05|2014-12-06 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-07 02:40:05|2014-12-07 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-08 02:40:05|2014-12-08 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-09 02:40:05|2014-12-09 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-10 02:40:05|2014-12-10 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-11 02:40:05|2014-12-11 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-12 02:40:05|2014-12-12 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-13 02:40:05|2014-12-13 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-14 02:40:05|2014-12-14 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-15 02:40:05|2014-12-15 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-16 02:40:05|2014-12-16 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-17 02:40:05|2014-12-17 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-18 02:40:05|2014-12-18 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-19 02:40:05|2014-12-19 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-20 02:40:05|2014-12-20 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-21 02:40:05|2014-12-21 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-22 02:40:05|2014-12-22 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-23 02:40:05|2014-12-23 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-24 02:40:05|2014-12-24 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-25 02:40:05|2014-12-25 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-26 02:40:05|2014-12-26 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-27 02:40:05|2014-12-27 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-28 02:40:05|2014-12-28 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-29 02:40:05|2014-12-29 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-30 02:40:05|2014-12-30 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2014-12-31 02:40:05|2014-12-31 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-01 02:40:05|2015-01-01 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-02 02:40:05|2015-01-02 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-03 02:40:05|2015-01-03 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-04 02:40:05|2015-01-04 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-05 02:40:05|2015-01-05 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-06 02:40:05|2015-01-06 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-07 02:40:05|2015-01-07 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-08 02:40:05|2015-01-08 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-09 02:40:05|2015-01-09 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-10 02:40:05|2015-01-10 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-11 02:40:05|2015-01-11 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-12 02:40:05|2015-01-12 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-13 02:40:05|2015-01-13 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-14 02:40:05|2015-01-14 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-15 02:40:05|2015-01-15 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-16 02:40:05|2015-01-16 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-17 02:40:05|2015-01-17 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-18 02:40:05|2015-01-18 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-19 02:40:05|2015-01-19 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-20 02:40:05|2015-01-20 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-21 02:40:05|2015-01-21 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-22 02:40:05|2015-01-22 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-23 02:40:05|2015-01-23 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-24 02:40:05|2015-01-24 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-25 02:40:05|2015-01-25 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-26 02:40:05|2015-01-26 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-27 02:40:05|2015-01-27 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-28 02:40:05|2015-01-28 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-29 02:40:05|2015-01-29 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-30 02:40:05|2015-01-30 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-01-31 02:40:05|2015-01-31 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-02-01 02:40:05|2015-02-01 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-02-02 02:40:05|2015-02-02 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-02-03 02:40:05|2015-02-03 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
2015-02-04 02:40:05|2015-02-04 02:40:05|OK|Insert Into sum_daily_archive_all|rowCount=1
